,answers.0.values,answers.1.values,answers.10.values,answers.2.values,answers.3.values,answers.4.values,answers.5.values,answers.6.values,answers.7.values,answers.8.values,createdAt,country
15,Bangladesh,dhaka, : @FxTorikul,becilona,right,,,,,,2021-04-03 08:01:50.589000+00:00,Bangladesh
16,Bulgaria,plovdiv,Nothing,botev,white,,,,,,2021-04-01 12:04:07.158000+00:00,Bulgaria
17,Bulgaria,plovdiv,Nothing,botev,white,,,,,,2021-04-01 12:04:07.158000+00:00,Bulgaria
18,Burkina Faso,bobo dilasso, ,fc ouaga,öğretmen,,,,,,2021-04-03 15:26:57.065000+00:00,Burkina Faso
19,Cuba,havana,Yok,küba milli takımı,purocu,,,,,,2021-04-03 17:07:47.126000+00:00,Cuba
20,Cyprus,famagusta,Galiba sadece yayabilirim,galatasaray,öğrenci,,,,,,2021-04-04 22:24:23.317000+00:00,Cyprus
21,Georgia,tbilisy,,barcelona fc,job,,,,,,2021-04-01 18:11:05.665000+00:00,Georgia
22,Georgia,tbilisy,,barcelona fc,job,,,,,,2021-04-01 18:11:05.665000+00:00,Georgia
23,Iceland,akureyri,,barselona ,muhasebeci,,,,,,2021-04-02 10:57:43.560000+00:00,Iceland
24,India,mau,,team india,business,,,,,,2021-04-03 18:00:52.699000+00:00,India
25,India,hyderabad,,barcelona fc,student,,,,,,2021-04-05 19:51:33.332000+00:00,India
26,India,jehanabad,Yes ,india,student,,,,,,2021-04-06 11:48:25.562000+00:00,India
27,India,hyderabad,Yes. I can learn very fast what is TFB and try myself best to invest in this. My contact  :  ,chess,student,,,,,,2021-04-05 12:53:56.575000+00:00,India
28,Indonesia,kediri,I think truefeedback will most have many user if everyday have more event. My :+6282141074674,manchester united fc,full time bussines man,,,,,,2021-04-02 12:51:27.177000+00:00,Indonesia
29,Indonesia,batam,Crypto Investor,mu,employeer,,,,,,2021-04-05 17:37:31.313000+00:00,Indonesia
30,Indonesia,madiun,,baskey ball,nice,,,,,,2021-04-02 15:35:58.722000+00:00,Indonesia
31,Iran,iran,,iran,iran,,,,,,2021-04-01 17:39:22.401000+00:00,Iran
32,Iran,esfahan, I like History.It will be good If TFB can preare articles about that,liverpool,teacher,,,,,,2021-04-01 09:03:18.342000+00:00,Iran
33,Iran,esfahan, I like History.It will be good If TFB can preare articles about that,liverpool,teacher,,,,,,2021-04-01 09:03:18.342000+00:00,Iran
34,Iran,tehran,It' perfect ,perspolis,engineer,,,,,,2021-04-02 08:00:56.125000+00:00,Iran
35,Iran,isfahan,my name is zahra and love cryptocurency,sepahan,teacher,,,,,,2021-04-02 08:35:05.394000+00:00,Iran
36,Iran,isfahan,It is good for all I like it,manchester united,house work,,,,,,2021-04-02 08:36:40.738000+00:00,Iran
37,Iran,iran,,iran,iran,,,,,,2021-04-01 17:39:22.401000+00:00,Iran
38,Italy,italia,,uefa,employee,,,,,,2021-04-04 09:55:33.422000+00:00,Italy
39,Iran,halep,İnşallah iyi yerlere geleceğiz,galatasaray,aşçı,,,,,,2021-04-05 11:08:48.842000+00:00,Iran
40,Kuwait,kuwait city,,adanaspor,faculty member,,,,,,2021-04-01 05:24:04.199000+00:00,Kuwait
41,Kuwait,kuwait city,,adanaspor,faculty member,,,,,,2021-04-01 05:24:04.199000+00:00,Kuwait
42,Laos,pakse,",etc",thailand,students,,,,,,2021-04-06 15:58:04.283000+00:00,Laos
43,Maldives,male',"I was a Biomedical Engineer and a Community Health Worker. With over 34 years of vast Working Experience, covering various fields, my Professional Carrier has led me to gain complex experience especially in HealthCare & Medical Field (nationally and internationally) with multimanagement skills in some Technical, Business and Administrative sectors.  My   id is:  ",valencia,medical practice,,,,,,2021-03-31 21:47:57.370000+00:00,Maldives
44,Maldives,male',"I was a Biomedical Engineer and a Community Health Worker. With over 34 years of vast Working Experience, covering various fields, my Professional Carrier has led me to gain complex experience especially in HealthCare & Medical Field (nationally and internationally) with multimanagement skills in some Technical, Business and Administrative sectors.  My   id is:  ",valencia,medical practice,,,,,,2021-03-31 21:47:57.370000+00:00,Maldives
45,Mexico,linares,@manuelextremo,futbol,peluquero,,,,,,2021-04-01 13:29:18.081000+00:00,Mexico
46,Mexico,linares,@manuelextremo,futbol,peluquero,,,,,,2021-04-01 13:29:18.081000+00:00,Mexico
47,Myanmar,loikaw,,skate,online shop,,,,,,2021-04-04 16:33:52.184000+00:00,Myanmar
48,Nigeria,lagos,I am  young man who is getting to know more about crypto currency. I can contribute by promoting TFB on all my social media accounts. My  address is . My  username is Abymac.,manchester united,customer service supervisor,,,,,,2021-04-03 21:15:12.674000+00:00,Nigeria
49,Nigeria,asaba,Creating awareness for the program,arsenal,sales manager,,,,,,2021-04-03 09:15:06.444000+00:00,Nigeria
50,Nigeria,ibadan,,arsenal,business administrator,,,,,,2021-04-03 20:28:41.651000+00:00,Nigeria
51,Nigeria,kaduna,": Tradewithchrisnet, ",arsenal,business,,,,,,2021-04-02 10:30:13.832000+00:00,Nigeria
52,Nigeria,kano,,no club,messi,,,,,,2021-04-06 20:10:37.385000+00:00,Nigeria
53,Nigeria,ibadan,"@Anderbby, ",chelsea fc,student,,,,,,2021-04-06 11:28:00.732000+00:00,Nigeria
54,Nigeria,uyo,I can help publicize and market your platform through  article writng. You can contact me  @Petozz on ,barcelona fc,teaching,,,,,,2021-04-06 20:41:21.567000+00:00,Nigeria
55,Nigeria,oyo,"with great team support, I believe TFB will be the largest community very soon, I am Oluwatosin, and my  is ",chelsea fc,am a student,,,,,,2021-04-06 12:44:52.247000+00:00,Nigeria
56,Nigeria,nasarawa,Muhammad sani nasiru.  08148669752,no club,business,,,,,,2021-04-01 10:45:26.028000+00:00,Nigeria
57,Nigeria,modakeke,I believe I can contribute to greatly to TFB with the ideas and experience in have heard in cryptocurrency.my  is ,chelsea fc,student,,,,,,2021-04-06 13:31:20.596000+00:00,Nigeria
58,Nigeria,osogbo,"I am Ogundeji Mayowa, 29 years old and a graduate I am willing to learn everyday and i believe with TFB support i will contribute massively to this great project .. My  username @bringjoy and my  address ",manchester united,student,,,,,,2021-04-06 10:44:03.686000+00:00,Nigeria
59,Nigeria,abeokuta,08164891055,no club,public servant,,,,,,2021-04-06 09:10:35.602000+00:00,Nigeria
60,Nigeria,abuja,Yes I believe I can contribute TFB with great ideas. My  is ,no club,teacher,,,,,,2021-04-06 06:16:44.555000+00:00,Nigeria
61,Nigeria,uyo,": @charmonenterprise,  : , twitter: @victorc48648630, LinkedIn: @victormondaycharlie, youtube: @advertisehub,  Instagram: @charmonenterprise, Facebook : @thechurch001. All about me and my work is visible in this social handles am a lover of crypto ready to get involved with as many projects as possible",chelsea fc,blogger,,,,,,2021-04-06 05:53:01.097000+00:00,Nigeria
62,Nigeria,abuja,,manchester united,trader,,,,,,2021-04-06 05:16:00.657000+00:00,Nigeria
63,Nigeria,lagos,I can bring in multiple people because I have access to the public,barcelona fc,traders,,,,,,2021-04-06 04:46:14.825000+00:00,Nigeria
64,Nigeria,ikot ekpene,I'm a down to  handle is Elchi360,manchester united,perfume dealer,,,,,,2021-04-02 13:08:17.529000+00:00,Nigeria
65,Nigeria,ogun state,I am a guy with strict aim  goals @mannysam,manchester united,student,,,,,,2021-04-06 19:22:18.016000+00:00,Nigeria
66,Nigeria,uyo,"My name is Benjamin Ntoe, I am a forex trader and a crypto enthusiast, I also design, animations and so on. I'm a Nigerian who is passion driven.\nMy mission generally in life is not merely to survive, but to thrive and to do so with some passion, compassion, humor and some style....\nI'm happy to be here as i plan to contribute in my little way in this community ...\nThank you everyone",chelsea fc,student,,,,,,2021-04-06 23:41:10.733000+00:00,Nigeria
67,Nigeria,ile ife,":::@hardthey, ::: , twitter::: àLord_Pemi",manchester united,online marketing,,,,,,2021-04-07 10:52:59.857000+00:00,Nigeria
68,Nigeria,ibadan,I am a cryptocurrency writer (https://cryptostocksreviews.org). I write educative reviews and blogs on crypto. Reach me at https://t.me/ayobami9,manchester united,writer,,,,,,2021-04-06 08:03:48.148000+00:00,Nigeria
69,Nigeria,modakeke,Yes ,no club,student,,,,,,2021-04-06 10:35:04.208000+00:00,Nigeria
70,Nigeria,nasarawa,Muhammad sani nasiru.  08148669752,no club,business,,,,,,2021-04-01 10:45:26.028000+00:00,Nigeria
71,Nigeria,apomu,I am Amusat Yusuff and I am a professional content writer. There are different ways I can use my skills to contribute to the development of TFB. I can refer people to use the app using the referral program. My  address is  and I am star_hamzat on . My phone number for WhatsApp is +2347062325563,arsenal,writer,,,,,,2021-04-06 07:47:26.147000+00:00,Nigeria
72,Nigeria,lagos,"My name is Israel Udensi. I was a Ui/UX designer for Bitmama.oi, a Nigerian based wallet system I believe I would be able to add a few things to the TFB system when it comes to design. My  is ",arsenal,ui/ux designer,,,,,,2021-04-06 08:06:17.402000+00:00,Nigeria
73,Nigeria,agbara,,barcelona fc,engineering,,,,,,2021-04-05 13:53:27.900000+00:00,Nigeria
74,Nigeria,ibadan,,chelsea fc,store keeper,,,,,,2021-04-02 22:19:58.725000+00:00,Nigeria
75,Nigeria,oyo,,chelsea fc,trader,,,,,,2021-04-07 05:51:47.155000+00:00,Nigeria
76,Nigeria,oweri,"I'm a very hard working young teenager who is always ready to keep the rules and regulations and I am always ready to make sure I work to the very support of this forum..  Instagram name: skyez noble,  : ",manchester united,student,,,,,,2021-04-02 15:29:47.600000+00:00,Nigeria
77,Nigeria,akure,,arsenal ,farming,,,,,,2021-03-31 20:14:40.654000+00:00,Nigeria
78,Nigeria,warri,,barcelona fc,software development,,,,,,2021-04-02 10:51:54.221000+00:00,Nigeria
79,Nigeria,owerri,TFB is great ,manchester united,student,,,,,,2021-04-02 15:54:20.979000+00:00,Nigeria
80,Nigeria,lagos, ,manchester united,engineering,,,,,,2021-04-02 11:47:28.972000+00:00,Nigeria
81,Nigeria,lagos,I will be willing to contribute to the greatness of these company.  ,manchester united,student,,,,,,2021-04-02 12:13:28.447000+00:00,Nigeria
82,Nigeria,akure,,arsenal ,farming,,,,,,2021-03-31 20:14:40.654000+00:00,Nigeria
83,Pakistan,lahore,I thought that it is  real app  and help to earn money online ,pakistan,student,,,,,,2021-04-01 08:29:28.592000+00:00,Pakistan
84,Pakistan,lahore,Take it to moon,fs,student,,,,,,2021-04-02 21:32:39.323000+00:00,Pakistan
85,Pakistan,lahore,I thought that it is  real app  and help to earn money online ,pakistan,student,,,,,,2021-04-01 08:29:28.592000+00:00,Pakistan
86,Russia,nfn,Jnn,j,j,,,,,,2021-04-01 13:24:16.372000+00:00,Russia
87,Russia,nfn,Jnn,j,j,,,,,,2021-04-01 13:24:16.372000+00:00,Russia
88,Russia,hs,Dj,hxh,hdj,,,,,,2021-04-01 12:57:02.473000+00:00,Russia
89,Russia,hs,Dj,hxh,hdj,,,,,,2021-04-01 12:57:02.473000+00:00,Russia
90,Turkey,gaziantep,Mining olması faydalı ,galatasaray,teksti̇l teknikeri,Bitcoin-dogecoin-ada-litecoin,40,Paribu-biance,Btctürk,Bitranium,2021-04-04 17:57:02.293000+00:00,Turkey
91,Turkey,antalya,,galatasaray,memur,,,,,,2021-04-05 19:06:54.337000+00:00,Turkey
92,Turkey,bursa,.,beşiktaş,öğrenci,,,,,,2021-04-05 19:14:07.963000+00:00,Turkey
93,Turkey,nevşehir,,fenerbahçe,serbest,,,,,,2021-04-05 19:19:53.351000+00:00,Turkey
94,Turkey,antalya,,beşiktaş,öğretmen,,,,,,2021-04-05 19:35:48.345000+00:00,Turkey
95,Turkey,i̇stanbul,..,beşiktaş,bankacı,,,,,,2021-04-05 19:29:51.120000+00:00,Turkey
96,Turkey,erzurum,,beşiktaş,calisimiyorum,,,,,,2021-04-05 19:02:19.060000+00:00,Turkey
97,Turkey,ankara,,galatasaray,hemşirelik,,,,,,2021-04-05 19:36:01.282000+00:00,Turkey
98,Turkey,antalya,05414140772,fenerbahçe,i̇şletme,,,,,,2021-04-05 19:24:03.222000+00:00,Turkey
99,Turkey,antalya, ,galatasaray,memur,,,,,,2021-04-05 18:58:29.099000+00:00,Turkey
100,Turkey,sakarya,Telwgram,beşiktaş,öğretmen,,,,,,2021-04-05 18:53:47.081000+00:00,Turkey
101,Turkey,antalya,,galatasaray,taksici,,,,,,2021-04-05 19:38:19.783000+00:00,Turkey
102,Turkey,i̇stanbul,Yok,galatasaray,serbest,,,,,,2021-04-05 18:46:37.660000+00:00,Turkey
103,Turkey,mersin,Tfb is nice,trabzonspor,kamu,,,,,,2021-04-05 18:57:41+00:00,Turkey
104,Turkey,i̇zmir,,juventus ,öğrenci,,,,,,2021-04-05 18:44:20.799000+00:00,Turkey
105,Turkey,kocaeli,.ozdemir. ,fenerbahçe,gemici,,,,,,2021-04-05 18:57:13.655000+00:00,Turkey
106,Turkey,i̇stanbul,Geleceğin kripto parası olarak düşünüyorum bu yüzden .,galatasaray,telefon tamircisi,,,,,,2021-04-05 18:38:07.513000+00:00,Turkey
107,Turkey,antalya,,galatasaray,memur,,,,,,2021-04-05 18:43:32.601000+00:00,Turkey
108,Turkey,batman,Yok,fenerbahçe,ogrenci,,,,,,2021-04-05 18:29:01.648000+00:00,Turkey
109,Turkey,sinop,Daha fazla puan,galatasaray,öğrenci,,,,,,2021-04-05 18:22:45.749000+00:00,Turkey
110,Turkey,van,Olabilir,galatasaray,i̇şçi,,,,,,2021-04-05 18:32:11.788000+00:00,Turkey
111,Turkey,kocaeli,,beşiktaş,kamu,,,,,,2021-04-05 18:13:58.296000+00:00,Turkey
112,Turkey,i̇zmir, endustri muhendisiyim  projeye katki sunabilecek operasyonlarda yer almak istiyorum,galatasaray,muhendis,,,,,,2021-04-05 19:10:52.689000+00:00,Turkey
113,Turkey,ankara,Yok,fenerbahçe,serbest,,,,,,2021-04-06 15:33:55.031000+00:00,Turkey
114,Turkey,denizli,we’ll earn so many money,beşiktaş,teacher,,,,,,2021-04-05 20:17:00.801000+00:00,Turkey
115,Turkey,i̇zmir, ,beşiktaş,tekniker,,,,,,2021-04-05 21:48:12.552000+00:00,Turkey
116,Turkey,adana,Facebook,fenerbahçe,kasiyer,,,,,,2021-04-05 23:03:35.698000+00:00,Turkey
117,Turkey,kocaeli,katkıda bulunmaya çalışacağım,trabzonspor,öğrenci,,,,,,2021-04-05 21:55:06.334000+00:00,Turkey
118,Turkey,denizli," ile ulaşabilirsiniz  ismail dikici bu projenin gelişip büyüyeceğine inancım tam, bende destek olmak istiyorum",galatasaray,i̇nşaat mühendisi,,,,,,2021-04-06 12:07:27.067000+00:00,Turkey
119,Turkey,bursa,.,fenerbahçe,avukat,,,,,,2021-04-04 10:31:51.825000+00:00,Turkey
120,Turkey,yozgat,,galatasaray,öğrenci,,,,,,2021-04-04 10:33:10.784000+00:00,Turkey
121,Turkey,ankara, ,galatasaray,aşçı,,,,,,2021-04-05 21:39:06.389000+00:00,Turkey
122,Turkey,istanbul,Dogan ,fenerbahçe,spor,,,,,,2021-04-05 21:28:55.537000+00:00,Turkey
123,Turkey,diyarbakır,5432108921,galatasaray,öğrenci,,,,,,2021-04-04 10:44:41.588000+00:00,Turkey
124,Turkey,i̇stanbul,Evet,fenerbahçe,elektrik elektronik teknikeri,,,,,,2021-04-05 21:35:37.608000+00:00,Turkey
125,Turkey,ankara,Daha çok puan vermeli,fenerbahçe,memur,,,,,,2021-04-05 21:22:33.924000+00:00,Turkey
126,Turkey,izmır,Başarılar ,beşiktaş,güvenlik  koruma,,,,,,2021-04-05 21:22:15.966000+00:00,Turkey
127,Turkey,i̇stanbul, Öğrenciyim ve kendimi geliştirmek için imkan oluşturmaya çalışıyorum. Bir yatırımcı yaklaşımıyla uzun vade portföyümde tutacağım.,beşiktaş,ögrenci,,,,,,2021-04-05 21:21:16.293000+00:00,Turkey
128,Turkey,hakkari,,çorum spor,mimar,,,,,,2021-04-05 21:02:33.356000+00:00,Turkey
129,Turkey,erzurum,,galatasaray,mimarlık,,,,,,2021-04-04 11:00:24.275000+00:00,Turkey
130,Turkey,istanbul,() kripto paralara karşı merakım çok fazla her günümü onları inceleyerek geçiriyorum,galatasaray,mühendis,,,,,,2021-04-05 21:10:03.145000+00:00,Turkey
131,Turkey,erzurum,fazla zaman,galatasaray,serbes,,,,,,2021-04-05 21:06:06.794000+00:00,Turkey
132,Turkey,antalya,Yeni Bir Kripto Para Çıkararak İlk Önce Madenciliğin Açıp Daha Sonra Borsaya Girmeye Çalışabilirsiniz,galatasaray,grafiker,,,,,,2021-04-05 20:46:09.878000+00:00,Turkey
133,Turkey,bursa,,bursaspor,öğrenci,,,,,,2021-04-05 20:34:23.653000+00:00,Turkey
134,Turkey,denizli,Ankara nın bağları,galatasaray,çiftçi,,,,,,2021-04-05 20:48:00.329000+00:00,Turkey
135,Turkey,i̇stanbul,Whatsapp ,galatasaray,öğrenci,,,,,,2021-04-05 20:29:59.428000+00:00,Turkey
136,Turkey,malatya, ,galatasaray,memur,,,,,,2021-04-05 20:24:49.349000+00:00,Turkey
137,Turkey,i̇zmir,,fenerbahçe,ogretmen,,,,,,2021-04-05 20:23:07.297000+00:00,Turkey
138,Turkey,mersin,Futbol klüplerinin derneklerineklerine yapılan  bağış ödemeleri ya da yıllık aidat ödemeleri TFB üzerinden kripto para ödemesi ile yapılabilir. ,trabzonspor,astsubay,,,,,,2021-04-05 20:05:33.524000+00:00,Turkey
139,Turkey,denizli,.,beşiktaş,öğrenci,,,,,,2021-04-07 09:37:01.838000+00:00,Turkey
140,Turkey,van,Güzel,vanspor,emele,,,,,,2021-04-05 18:11:51.281000+00:00,Turkey
141,Turkey,kütahya,,galatasaray,müdür,,,,,,2021-04-05 18:09:17.977000+00:00,Turkey
142,Turkey,bursa,,bursaspor,öğretmen,,,,,,2021-04-05 18:29:32.241000+00:00,Turkey
143,Turkey,erzurum,,galatasaray,akademisyen,,,,,,2021-04-05 17:35:20.701000+00:00,Turkey
144,Turkey,kocaeli,,beşiktaş,öğrenci,,,,,,2021-04-05 14:48:28.111000+00:00,Turkey
145,Turkey,kocaeli,,beşiktaş,öğrenci,,,,,,2021-04-05 14:48:32.463000+00:00,Turkey
146,Turkey,kocaeli,,beşiktaş,sosyal hizmet,,,,,,2021-04-05 14:46:56.049000+00:00,Turkey
147,Turkey,ankara, - gelecek vaat eden bir projedir. ,ankaragücü ,aşçı,,,,,,2021-04-05 15:33:08.075000+00:00,Turkey
148,Turkey,kocaeli,.,beşiktaş,memur,,,,,,2021-04-05 14:45:15.157000+00:00,Turkey
149,Turkey,bursa,,beşiktaş,yazılım,,,,,,2021-04-05 14:27:19.306000+00:00,Turkey
150,Turkey,tr,,tr,tr,,,,,,2021-04-05 14:20:49.594000+00:00,Turkey
151,Turkey,i̇stanbul,Reklam ajansında yöneticiyim. Projenin biraz daha hype olması gerekiyor. Twitter’da instagram’da daha aktif olmak gerekiyor. Şu an çevremizdek herkes neredeyse kripto borsasına ilgi duyuyor. Kolay para kazanıldığını düşünüyor herkes :),galatasaray,reklamcılık,,,,,,2021-04-05 14:26:53.037000+00:00,Turkey
152,Turkey,i̇stanbul, ,galatasaray,tekniker,,,,,,2021-04-05 14:18:46.935000+00:00,Turkey
153,Turkey,diyarbakır,İstagram,galatasaray,tesi̇sat,,,,,,2021-04-04 10:57:26.719000+00:00,Turkey
154,Turkey,adıyaman,PARA KAZANMAK İSTİYORUM,galatasaray,öğrenci,,,,,,2021-04-05 14:56:36.210000+00:00,Turkey
155,Turkey,konya,,galatasaray,serbest,,,,,,2021-04-05 14:10:36.265000+00:00,Turkey
156,Turkey,i̇zmir,Güzel ,altay,öğrenci,,,,,,2021-04-05 14:10:10.868000+00:00,Turkey
157,Turkey,mardin,Baron3447,beşiktaş,öğrenci,,,,,,2021-04-05 14:03:23.769000+00:00,Turkey
158,Turkey,antalya,Güzel bir uygulama test ettikten sonra daha net açıklama yapabilirim,galatasaray,trader,,,,,,2021-04-05 13:31:31.973000+00:00,Turkey
159,Turkey,manisa,,ordu,aşcı,,,,,,2021-04-05 13:11:45.549000+00:00,Turkey
160,Turkey,i̇stanbul,,fenerbahçe,muhasebe,,,,,,2021-04-05 13:07:52.510000+00:00,Turkey
161,Turkey,balıkesir,  (  ) Alışveriş için pos sistemleri ile çalışmalar olabilir,fenerbahçe,memur,,,,,,2021-04-04 11:05:56.583000+00:00,Turkey
162,Turkey,i̇stanbul,,beşiktaş,serbest,,,,,,2021-04-05 15:10:04.311000+00:00,Turkey
163,Turkey,i̇stanbul,Naim kara ,fenerbahçe,mimar,,,,,,2021-04-05 12:44:17.486000+00:00,Turkey
164,Turkey,mardin,Yok,galatasaray,yok,,,,,,2021-04-05 12:51:11.606000+00:00,Turkey
165,Turkey,ankara,,beşiktaş,öğrenci,,,,,,2021-04-05 12:52:14.286000+00:00,Turkey
166,Turkey,balıkesir,,galatasaray,öğrenci,,,,,,2021-04-05 12:25:35.838000+00:00,Turkey
167,Turkey,i̇stanbul,Teşekkür ederim,fenerbahçe,serbest,,,,,,2021-04-04 10:59:39.491000+00:00,Turkey
168,Turkey,i̇stanbul,Uygulamanızı çok beğendim burda hem eğleniyorum hem haberlerden yeni şeyler öğreniyorum,galatasaray,bilgisayar mühendisi,,,,,,2021-04-05 14:15:04.151000+00:00,Turkey
169,Turkey,bartın,,galatasaray,öğretmen,,,,,,2021-04-05 15:07:29.311000+00:00,Turkey
170,Turkey,ankara,,galatasaray,mühendis,,,,,,2021-04-05 20:20:11.395000+00:00,Turkey
171,Turkey,sivas,05442247163,beşiktaş,memur,,,,,,2021-04-06 20:09:55.488000+00:00,Turkey
172,Turkey,denizli, ,beşiktaş,öğrenci,,,,,,2021-04-06 00:47:54.813000+00:00,Turkey
173,Turkey,samsun,Jdjwjaj,samsun spor ,polis,,,,,,2021-04-05 18:03:19.565000+00:00,Turkey
174,Turkey,tokat,,fenerbahçe,mimar,,,,,,2021-04-05 17:58:39.309000+00:00,Turkey
175,Turkey,i̇stanbul, ,beşiktaş,memur,,,,,,2021-04-05 17:40:39.642000+00:00,Turkey
176,Turkey,ankara,@jiyaneugur,galatasaray,muzisyen,,,,,,2021-04-05 17:06:19.951000+00:00,Turkey
177,Turkey,kocaeli,,galatasaray,i̇sci,,,,,,2021-04-05 18:38:28.328000+00:00,Turkey
178,Turkey,i̇stanbul,,fenerbahçe,danışman,,,,,,2021-04-05 16:49:05.328000+00:00,Turkey
179,Turkey,antalya,,antalyaspor,yazılım geliştirici,,,,,,2021-04-06 04:02:19.814000+00:00,Turkey
180,Turkey,bursa,,bursaspor,öğrenci,,,,,,2021-04-05 16:40:16.692000+00:00,Turkey
181,Turkey,zonguldak,onder67,fenerbahçe,serbest,,,,,,2021-04-05 16:32:39.732000+00:00,Turkey
182,Turkey,i̇zmir,Uygulamayı kullanarak hem kendıme hem uygulamaya kazandırmk,beşiktaş,muhasebe,,,,,,2021-04-05 15:06:20.391000+00:00,Turkey
183,Turkey,adana,,galatasaray,esnaf,,,,,,2021-04-05 16:13:35.266000+00:00,Turkey
184,Turkey,bursa,,bursaspor,esnaf,,,,,,2021-04-05 16:07:58.332000+00:00,Turkey
185,Turkey,muş,,fenerbahçe,çiftçi,,,,,,2021-04-05 15:57:30.775000+00:00,Turkey
186,Turkey,diyarbakır,aminekocyigit9gmail,beşiktaş,öğrenci,,,,,,2021-04-05 18:48:25.459000+00:00,Turkey
187,Turkey,konya, ,fenerbahçe,emekli,,,,,,2021-04-05 15:40:31.178000+00:00,Turkey
188,Turkey,adana,,galatasaray,esnaf,,,,,,2021-04-05 15:43:54.145000+00:00,Turkey
189,Turkey,antalya, projeye katkıda bulunacağıma inanıyorum,galatasaray,garson,,,,,,2021-04-05 15:37:47.228000+00:00,Turkey
190,Turkey,mersin,,galatasaray,öğrenci,,,,,,2021-04-05 15:33:25.764000+00:00,Turkey
191,Turkey,i̇stanbul,İnssanlara biraz faydalı işler yaparsanız,fenerbahçe,i̇şçi,,,,,,2021-04-04 10:57:46.796000+00:00,Turkey
192,Turkey,diyarbakır,,beşiktaş,ev hanımı,,,,,,2021-04-05 15:20:53.099000+00:00,Turkey
193,Turkey,i̇stanbul,,beşiktaş,teknisyen,,,,,,2021-04-06 05:04:56.627000+00:00,Turkey
194,Turkey,ankara,,galatasaray,öğrenci,,,,,,2021-04-05 15:19:31.235000+00:00,Turkey
195,Turkey,mersin,,galatasaray,öğretmen,,,,,,2021-04-05 16:10:31.757000+00:00,Turkey
196,Turkey,kocaeli,,galatasaray,özel güvenlik,,,,,,2021-04-05 23:20:27.081000+00:00,Turkey
197,Turkey,ist,T,beşiktaş,ogr,,,,,,2021-04-04 10:25:36.328000+00:00,Turkey
198,Turkey,uşak,İnstagram,galatasaray,öğrenci,,,,,,2021-04-05 23:50:04.812000+00:00,Turkey
199,Turkey,i̇stanbulda,,yok,i̇nşatcı,,,,,,2021-04-06 16:56:24.535000+00:00,Turkey
200,Turkey,antalya,Şuan aklıma gelen birşey yok ,fenerbahçe,ögrenci,,,,,,2021-04-04 01:07:38.539000+00:00,Turkey
201,Turkey,kütahya,,galatasaray,madencilik,,,,,,2021-04-04 01:25:40.164000+00:00,Turkey
202,Turkey,i̇zmir,.,fenerbahçe,satışçı,,,,,,2021-04-06 11:18:00.464000+00:00,Turkey
203,Turkey,ankara,Bfkb,beşiktaş,pilot,,,,,,2021-04-06 11:11:36.780000+00:00,Turkey
